PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
96,4237566,3232679,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.85,,,2.429,,-13.67,,-11.62,,-7.048,,-1.755,,6.733,,-17.85,QC'd by Pharmacopeia
97,4237567,3232680,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.93,,,-21.09,,-13.12,,-21.57,,16.19,,32.06,,9.22,,-27.93,QC'd by Pharmacopeia
98,4237568,3232681,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.29,,,5.155,,16.11,,-34.57,,3.77,,30.82,,0.4257,,-41.29,QC'd by Pharmacopeia
99,4237569,3232682,Active,43,,,Inhibitor,7.9433,97.9568,,Partial curve; high efficacy,-5.1,1.4787,0.923,-97.9568,0,-2.1,0 0 0 0 0 0 0,-92.64,,,-6.02,,13.05,,-18.02,,11.4,,-17.11,,-61.58,,-92.64,QC'd by Pharmacopeia
100,4237570,3232683,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.76,,,-9.217,,-35.85,,-18.73,,-19.48,,-2.858,,-8.966,,-15.76,QC'd by Pharmacopeia
101,4237571,3232684,Inactive,0,,,Inactive,,,,,,,,,,4,,22.79,,,-20.38,,4.409,,-12.55,,-3.199,,-24.22,,37.87,,22.79,QC'd by Pharmacopeia
102,4237572,3232685,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.763,,,-12.31,,16.25,,-1.433,,-10.51,,78.18,,8.714,,-9.763,QC'd by Pharmacopeia
103,4237573,3232686,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.21,,,27.06,,41.38,,17.56,,20.16,,7.68,,-14.13,,-24.21,QC'd by Pharmacopeia
104,4237574,3232687,Inactive,0,,,Activator,0.3981,76.29,,Partial curve; partial efficacy; poor fit,-6.4,3.99,0.7357,48.279,-28.011,2.4,0 0 0 0 0 0 1,-59.5,,,1.766,,-27.06,,-60.44,,25.06,,29.15,,64.96,,-59.5,QC'd by Pharmacopeia
105,4237575,3232688,Inactive,0,,,Inactive,,,,,,,,,,4,,-31.18,,,6.057,,-8.35,,-17.67,,5.23,,20.67,,19.35,,-31.18,QC'd by Pharmacopeia
106,4237576,3232689,Inactive,0,,,Inactive,,,,,,,,,,4,,4.635,,,-0.5135,,-47.77,,74.99,,14.25,,4.238,,-1.537,,4.635,QC'd by Pharmacopeia
107,4237577,3232690,Inconclusive,20,,,Inhibitor,39.8107,88.3692,,Single point of activity,-4.4,4.4495,0.9392,-95.1,-6.7308,-3,0 0 0 0 1 0 0,-80.5,,,-18.48,,1.808,,-12.01,,-5.592,,39.67,,0.1505,,-80.5,QC'd by Pharmacopeia
108,4237578,3232691,Active,42,,,Inhibitor,10,83.4132,,Partial curve; partial efficacy,-5,3.5722,0.8415,-71.5068,11.9064,-2.2,0 0 0 0 0 0 0,-73.57,,,6.359,,34.67,,-4.774,,-4.109,,26.21,,-36.14,,-73.57,QC'd by Pharmacopeia
109,4237579,3232692,Active,84,,,Inhibitor,3.1623,73.155,,Complete curve; high efficacy,-5.5,1.9673,0.9772,-89.1225,-15.9675,-1.1,0 0 0 1 0 0 0,-89.74,,,-14.61,,-9.085,,-25.41,,18.85,,-40.34,,-83.42,,-89.74,QC'd by Pharmacopeia
110,4237580,3232693,Active,45,,,Inhibitor,3.1623,112.823,,Partial curve; high efficacy,-5.5,0.9,0.8969,-106.409,6.4145,-2.1,0 0 0 0 0 0 0,-98.83,,,-16.79,,29.46,,7.508,,-21.43,,-37.05,,-79.8,,-98.83,QC'd by Pharmacopeia
111,4237581,3232694,Active,44,,,Inhibitor,3.1623,96.9325,,Partial curve; partial efficacy,-5.5,0.4,0.909,-89.9116,7.0209,-2.2,1 0 1 0 0 0 0,-71.81,,,-24.88,,2.981,,62.37,,-34.46,,-33.55,,-46.48,,-71.81,QC'd by Pharmacopeia
112,4237582,3232695,Inactive,0,,,Inactive,,,,,,,,,,4,,-36.99,,,-30.45,,5.867,,25.83,,-0.6835,,35.52,,21.36,,-36.99,QC'd by Pharmacopeia
113,4237583,3232696,Inconclusive,20,,,Inhibitor,39.8107,50.511,,Single point of activity,-4.4,4.9549,0.7162,-55.388,-4.877,-3,0 0 1 0 0 0 0,-48.24,,,-5.05,,-13.85,,24.18,,-15.67,,-5.511,,15.53,,-48.24,QC'd by Pharmacopeia
114,4237584,3232697,Inconclusive,20,,,Inhibitor,39.8107,62.0202,,Single point of activity,-4.4,4.9549,0.8681,-69.2549,-7.2347,-3,0 0 0 1 0 0 0,-60.61,,,-8.423,,-24.02,,-7.809,,45.72,,-7.183,,-1.067,,-60.61,QC'd by Pharmacopeia
115,4237585,3232698,Active,86,,,Inhibitor,1.9953,116.704,,Complete curve; high efficacy,-5.7,1.21,0.9895,-101.656,15.0488,-1.1,0 0 0 0 0 0 0,-99.26,,,21.13,,14.73,,2.035,,1.935,,-46.37,,-90.18,,-99.26,QC'd by Pharmacopeia
116,4237586,3232699,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.95,,,13.74,,-2.843,,-8.043,,-17.6,,-15.21,,32.49,,-21.95,QC'd by Pharmacopeia
117,4237587,3232700,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.63,,,60.49,,39.77,,-17.11,,26.41,,15.14,,63.64,,-13.63,QC'd by Pharmacopeia
118,4237588,3232701,Active,67,,,Inhibitor,0.3162,66.0236,,Complete curve; partial efficacy,-6.5,4.095,0.8151,-66.0236,0,-1.2,0 0 0 0 0 0 0,-79.48,,,-20.7,,25.35,,-5.243,,-54.68,,-68.7,,-49.41,,-79.48,QC'd by Pharmacopeia
119,4237589,3232702,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.33,,,-24.16,,-15.08,,-14.71,,11.04,,23.99,,-15.36,,-44.33,QC'd by Pharmacopeia
120,4237590,3232703,Inconclusive,20,,,Inhibitor,31.6228,81.7451,,Single point of activity,-4.5,4.4495,0.7758,-66.1361,15.609,-3,0 0 1 0 0 0 0,-60.75,,,0.1914,,-3.194,,-22.2,,43.31,,21.65,,14.89,,-60.75,QC'd by Pharmacopeia
121,4237591,3232704,Active,41,,,Inhibitor,12.5893,72.31,,Partial curve; partial efficacy,-4.9,3.5117,0.9266,-65.31,7,-2.2,0 0 0 0 0 0 0,-64.61,,,4.632,,-1.72,,6.846,,1.713,,22.61,,-23.41,,-64.61,QC'd by Pharmacopeia
122,4237592,3232705,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.45,,,-4.263,,-17.7,,-17.85,,42.66,,40.28,,19.02,,-13.45,QC'd by Pharmacopeia
123,4237593,3232706,Inactive,0,,,Inactive,,,,,,,,,,4,,-58.72,,,-42.31,,-43.44,,-14.15,,57.37,,23.42,,-27.45,,-58.72,QC'd by Pharmacopeia
124,4237594,3232707,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.99,,,-4.659,,-10.02,,-22.57,,15.26,,10.55,,-4.107,,-28.99,QC'd by Pharmacopeia
125,4237595,3232708,Inconclusive,20,,,Inhibitor,39.8107,126.586,,Single point of activity,-4.4,4.9549,0.915,-96.4376,30.1484,-3,1 0 0 0 0 0 0,-78.18,,,-29.35,,22.29,,16.71,,21.37,,52.9,,38.49,,-78.18,QC'd by Pharmacopeia
126,4237596,3232709,Inconclusive,20,,,Inhibitor,39.8107,57.8969,,Single point of activity,-4.4,4.4495,0.9086,-60.7,-2.8031,-3,0 0 0 0 0 1 0,-51,,,-1.131,,-4.765,,-2.725,,-12.37,,7.031,,46.61,,-51,QC'd by Pharmacopeia
127,4237597,3232710,Inactive,0,,,Inactive,,,,,,,,,,4,,6.263,,,22.23,,55.16,,-20.09,,20.21,,-6.094,,-1.312,,6.263,QC'd by Pharmacopeia
128,4237598,3232711,Active,41,,,Inhibitor,15.8489,91.1482,,Partial curve; partial efficacy,-4.8,2.2526,0.9179,-79.6471,11.5012,-2.2,1 0 0 0 0 0 0,-74.29,,,-21.79,,-3.258,,17.16,,4.828,,25.72,,-18.85,,-74.29,QC'd by Pharmacopeia
129,4237599,3232712,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.255,,,-21.19,,36.83,,-31.61,,-7.944,,26.81,,63.94,,-6.255,QC'd by Pharmacopeia
130,4237600,3232713,Active,89,,,Inhibitor,0.3162,61.6665,,Complete curve; high efficacy,-6.5,3.6272,0.961,-86.8155,-25.149,-1.1,0 0 0 0 0 0 0,-93.49,,,-31.09,,-26.88,,-18,,-72.8,,-77.57,,-90.19,,-93.49,QC'd by Pharmacopeia
131,4237601,3232714,Inactive,0,,,Inactive,,,,,,,,,,4,,9.731,,,-5.53,,21.44,,-1.456,,-0.4357,,-26.74,,-2.549,,9.731,QC'd by Pharmacopeia
132,4237602,3232715,Active,41,,,Inhibitor,25.1189,100.53,,Partial curve; high efficacy,-4.6,1.1,0.8094,-112.095,-11.5653,-2.1,0 0 0 0 0 0 0,-89.77,,,-25.4,,-27.64,,-2.353,,-27.21,,-22.74,,-36.02,,-89.77,QC'd by Pharmacopeia
133,4237603,3232716,Inactive,0,,,Inactive,,,,,,,,,,4,,-32.05,,,-0.0097,,0.5338,,7.601,,22.49,,3.979,,-2.026,,-32.05,QC'd by Pharmacopeia
134,4237604,3232717,Active,44,,,Inhibitor,6.3096,131.623,,Partial curve; high efficacy,-5.2,1,0.9048,-103.34,28.2828,-2.1,0 0 0 0 1 0 0,-92.16,,,3.289,,35.01,,52.88,,9.578,,69.95,,-56.91,,-92.16,QC'd by Pharmacopeia
135,4237605,3232718,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.47,,,-1.821,,-4.779,,27.24,,68.17,,31.08,,22.89,,-33.47,QC'd by Pharmacopeia
136,4237606,3232719,Inactive,0,,,Inactive,,,,,,,,,,4,,-31.85,,,39.13,,5.177,,15.29,,44.62,,-6.183,,38.31,,-31.85,QC'd by Pharmacopeia
137,4237607,3232720,Inactive,0,,,Inactive,,,,,,,,,,4,,5.507,,,-7.01,,-24.1,,-19.74,,-10.41,,-18.41,,-16.06,,5.507,QC'd by Pharmacopeia
138,4237608,3232721,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.128,,,-12.63,,5.091,,-15.48,,13.33,,-2.944,,17.75,,-3.128,QC'd by Pharmacopeia
139,4237609,3232722,Active,91,,,Inhibitor,0.1995,109.221,,Complete curve; high efficacy,-6.7,0.7,0.9817,-99.9301,9.2904,-1.1,0 0 0 0 0 0 0,-102.2,,,-0.3326,,1.027,,-38.56,,-59.92,,-79.38,,-91.33,,-102.2,QC'd by Pharmacopeia
140,4237610,3232723,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.88,,,-6.327,,-0.5646,,6.029,,-26.39,,10.38,,-3.554,,-39.88,QC'd by Pharmacopeia
141,4237611,3232724,Active,42,,,Inhibitor,10,79.8225,,Partial curve; partial efficacy,-5,4.9549,0.9657,-80.8155,-0.993,-2.2,0 0 0 0 0 0 0,-79.01,,,-0.214,,-0.9448,,10.92,,-9.454,,-4.11,,-56.83,,-79.01,QC'd by Pharmacopeia
142,4237612,3232725,Inactive,0,,,Activator,39.8107,91.6326,,Single point of activity,-4.4,4.9549,0.7005,84.5298,-7.1028,3,0 0 0 0 1 0 0,71.52,,,6.311,,22.23,,-10.68,,-40.44,,172.8,,-11.77,,71.52,QC'd by Pharmacopeia
143,4237613,3232726,Inactive,0,,,Inactive,,,,,,,,,,4,,4.122,,,-6.759,,-5.839,,-0.6132,,-22.02,,-7.828,,-16.9,,4.122,QC'd by Pharmacopeia
144,4237614,3232727,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.58,,,1.163,,41.5,,1.114,,-16.23,,14.73,,6.253,,-27.58,QC'd by Pharmacopeia
145,4237615,3232728,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.12,,,-0.2973,,-9.989,,-3.201,,37.77,,-6.255,,-10.46,,-41.12,QC'd by Pharmacopeia
146,4237616,3232729,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.67,,,-4.134,,-6.272,,9.476,,18.92,,-2.396,,-19.21,,-42.67,QC'd by Pharmacopeia
147,4237617,3232730,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.36,,,-22.97,,34.17,,-18.02,,-5.117,,24.69,,14.65,,-34.36,QC'd by Pharmacopeia
148,4237618,3232731,Inactive,0,,,Inactive,,,,,,,,,,4,,7.989,,,9.186,,6.346,,-2.834,,20.97,,-6.868,,-12.71,,7.989,QC'd by Pharmacopeia
149,4237619,3232732,Inactive,0,,,Inactive,,,,,,,,,,4,,22.54,,,15.58,,75.61,,3.354,,-3.298,,-10.44,,11.08,,22.54,QC'd by Pharmacopeia
150,4237620,3232733,Inconclusive,20,,,Inhibitor,15.8489,99.806,,Single point of activity,-4.8,0.7,0.8695,-69.376,30.43,-3,0 0 0 0 0 0 0,-50.17,,,30.32,,28.04,,41.55,,6.461,,7.764,,-1.093,,-50.17,QC'd by Pharmacopeia
151,4237621,3232734,Inconclusive,22,,,Inhibitor,12.5893,70.756,,Partial curve; partial efficacy,-4.9,0.7,0.9261,-75.7525,-4.9965,-2.2,0 0 0 0 0 0 0,-59.38,,,-14.33,,0.5854,,-3.575,,-10.65,,-26.96,,-34.38,,-59.38,QC'd by Pharmacopeia
152,4237622,3232735,Inactive,0,,,Inactive,,,,,,,,,,4,,25.23,,,-9.786,,-24.83,,-8.941,,-23.58,,0.7944,,-2.65,,25.23,QC'd by Pharmacopeia
153,4237623,3232736,Active,43,,,Inhibitor,7.9433,94.0841,,Partial curve; high efficacy,-5.1,1.6604,0.9494,-95.0839,-0.9998,-2.1,0 0 0 0 0 0 0,-91.32,,,8.395,,-13.18,,8.678,,-11.2,,-8.83,,-60.36,,-91.32,QC'd by Pharmacopeia
154,4237624,3232737,Active,42,,,Inhibitor,7.9433,102.741,,Partial curve; partial efficacy,-5.1,1.5579,0.9383,-82.9734,19.7676,-2.2,0 0 0 0 0 0 0,-78.35,,,3.071,,17.08,,37.93,,22.01,,4.982,,-46.06,,-78.35,QC'd by Pharmacopeia
155,4237625,3232738,Active,89,,,Inhibitor,0.3981,83.9558,,Complete curve; high efficacy,-6.4,1,0.9752,-93.3634,-9.4076,-1.1,0 0 0 0 0 0 0,-97.49,,,-17.89,,-3.326,,-25.93,,-55.97,,-80.19,,-85.72,,-97.49,QC'd by Pharmacopeia
156,4237626,3232739,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-62.8,,,-40.62,,-23.44,,-12.73,,21.56,,-7.794,,6.335,,-62.8,QC'd by Pharmacopeia
157,4237627,3232740,Inactive,0,,,Inactive,,,,,,,,,,4,,-31.09,,,-1.481,,-33.54,,14.34,,31.34,,5.047,,-11.41,,-31.09,QC'd by Pharmacopeia
158,4237628,3232741,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.73,,,-12.07,,-0.5633,,-2.009,,1.425,,23.26,,18.52,,-24.73,QC'd by Pharmacopeia
159,4237629,3232742,Inconclusive,20,,,Inhibitor,19.9526,78.5155,,Single point of activity,-4.7,1.1,0.908,-63.963,14.5525,-3,0 0 0 0 1 0 0,-47.44,,,20.33,,22.91,,12.19,,-0.1317,,115.3,,-8.689,,-47.44,QC'd by Pharmacopeia
160,4237630,3232743,Active,43,,,Inhibitor,7.9433,123.831,,Partial curve; high efficacy,-5.1,0.6,0.8961,-111.589,12.242,-2.1,0 0 0 0 0 0 0,-87.89,,,-0.1571,,34.53,,-6.747,,-9.981,,-28.98,,-51.03,,-87.89,QC'd by Pharmacopeia
161,4237631,3232744,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.09,,,-20.3,,-16.27,,-8.594,,83.97,,-16.26,,48.22,,-26.09,QC'd by Pharmacopeia
162,4237632,3232745,Inactive,0,,,Inactive,,,,,,,,,,4,,-36.02,,,21.62,,32.44,,83.83,,19.23,,23.07,,7.174,,-36.02,QC'd by Pharmacopeia
163,4237633,3232746,Inconclusive,20,,,Inhibitor,1.9953,84.2607,,Complete curve; high efficacy; poor fit,-5.7,1.8851,0.7774,-81.1985,3.0623,-1.3,1 0 0 0 0 0 0,-87.57,,,-45.61,,-31.19,,34.92,,0.9665,,-45.65,,-71.07,,-87.57,QC'd by Pharmacopeia
164,4237634,3232747,Inconclusive,20,,,Inhibitor,31.6228,81.872,,Single point of activity,-4.5,2.4064,0.8304,-88.615,-6.743,-3,0 0 0 0 1 0 0,-72.81,,,-5.844,,-16.66,,14.62,,-19.52,,33.36,,-13.33,,-72.81,QC'd by Pharmacopeia
165,4237635,3232748,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.52,,,-14.02,,-23.1,,-36.17,,70.18,,-24.21,,-3.56,,-41.52,QC'd by Pharmacopeia
166,4237636,3232749,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.35,,,-35.8,,-0.5891,,-20.17,,14.61,,40.74,,-2.148,,-22.35,QC'd by Pharmacopeia
167,4237637,3232750,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.93,,,21.7,,-3.849,,-16.34,,20.04,,2.575,,-2.276,,-25.93,QC'd by Pharmacopeia
168,4237638,3232751,Inconclusive,21,,,Inhibitor,19.9526,69.004,,Partial curve; partial efficacy,-4.7,1.5579,0.8624,-67.805,1.199,-2.2,0 0 0 0 0 0 0,-56.67,,,0.2901,,16.34,,-0.4341,,-13.66,,1.273,,-19.25,,-56.67,QC'd by Pharmacopeia
169,4237639,3232752,Inactive,0,,,Inactive,,,,,,,,,,4,,-38.39,,,-3.681,,-52.81,,26.39,,-3.259,,20.83,,20.67,,-38.39,QC'd by Pharmacopeia
170,4237640,3232753,Inconclusive,20,,,Inhibitor,39.8107,65.727,,Single point of activity,-4.4,4.9549,0.7664,-67.348,-1.621,-3,0 0 0 0 0 0 0,-57.79,,,-4.801,,1.097,,-4.538,,-21.29,,18.42,,0.6983,,-57.79,QC'd by Pharmacopeia
171,4237641,3232754,Inconclusive,20,,,Inhibitor,39.8107,74.84,,Single point of activity,-4.4,4.9549,0.8659,-65.34,9.5,-3,0 0 0 0 0 0 0,-54.45,,,5.56,,15.27,,26.81,,-0.8671,,0.1886,,10.18,,-54.45,QC'd by Pharmacopeia
172,4237642,3232755,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.89,,,-23.83,,-12.64,,17.24,,-9.637,,23.48,,6.526,,-28.89,QC'd by Pharmacopeia
173,4237643,3232756,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.14,,,2.164,,45.46,,-4.898,,-14.08,,5.881,,13.06,,-15.14,QC'd by Pharmacopeia
174,4237644,3232757,Inactive,0,,,Inactive,,,,,,,,,,4,,16.46,,,-14.45,,3.692,,-25.34,,-5.713,,-5.612,,-1.267,,16.46,QC'd by Pharmacopeia
175,4237645,3232758,Inactive,0,,,Inactive,,,,,,,,,,4,,-20.53,,,-11.27,,0.8824,,41.31,,-18.24,,19.15,,30.02,,-20.53,QC'd by Pharmacopeia
176,4237646,3232759,Inactive,0,,,Activator,0.0501,72.16,,Complete curve; partial efficacy; poor fit,-7.3,0.4,0.724,40.844,-31.316,1.4,0 0 0 0 0 0 0,26.46,,,-20.59,,9.167,,12.1,,2.609,,35.79,,45.49,,26.46,QC'd by Pharmacopeia
177,4237647,3232760,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.45,,,29.42,,11.12,,-17.1,,14.68,,-0.3093,,29.17,,-21.45,QC'd by Pharmacopeia
178,4237648,3232761,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.351,,,-16.58,,-25.43,,-8.055,,-19.27,,1.257,,-12.58,,-8.351,QC'd by Pharmacopeia
179,4237649,3232762,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.329,,,6.443,,5.607,,-8.322,,-7.925,,-15.18,,-1.214,,-3.329,QC'd by Pharmacopeia
180,4237650,3232763,Active,42,,,Inhibitor,15.8489,110.314,,Partial curve; high efficacy,-4.8,1.1,0.8654,-115.452,-5.1386,-2.1,1 0 0 0 0 0 0,-96.21,,,-34.45,,-7.116,,-18.73,,17.98,,-30.23,,-46.12,,-96.21,QC'd by Pharmacopeia
181,4237651,3232764,Inconclusive,20,,,Inhibitor,15.8489,102.11,,Single point of activity,-4.8,1.5095,0.9764,-61.116,40.9941,-3,0 0 1 0 0 0 0,-50.93,,,50.29,,38.52,,0.6573,,36.37,,30.35,,6.166,,-50.93,QC'd by Pharmacopeia
182,4237652,3232765,Active,42,,,Inhibitor,10,81.8486,,Partial curve; high efficacy,-5,4.9549,0.9306,-88.8482,-6.9996,-2.1,0 0 0 0 0 0 0,-87.79,,,2.206,,-0.7691,,-24.18,,-12.46,,1.305,,-62.57,,-87.79,QC'd by Pharmacopeia
183,4237653,3232766,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.152,,,7.528,,5.799,,11.96,,8.626,,24.6,,21.65,,-4.152,QC'd by Pharmacopeia
184,4237654,3232767,Active,42,,,Inhibitor,10,98.4993,,Partial curve; high efficacy,-5,1.9887,0.9395,-85.6617,12.8376,-2.1,0 0 0 0 0 0 0,-83.42,,,23.56,,-6.203,,13.17,,21.83,,6.304,,-41.87,,-83.42,QC'd by Pharmacopeia
185,4237655,3232768,Inconclusive,21,,,Inhibitor,12.5893,86.305,,Partial curve; partial efficacy,-4.9,1.4163,0.9743,-66.908,19.397,-2.2,0 0 0 0 0 0 0,-59.09,,,12.1,,26.89,,16.26,,22.56,,10.76,,-18.62,,-59.09,QC'd by Pharmacopeia
186,4237656,3232769,Active,41,,,Inhibitor,15.8489,105.493,,Partial curve; partial efficacy,-4.8,0.9,0.9014,-97.3662,8.1264,-2.2,0 0 0 0 0 0 0,-73.52,,,-1.961,,28.06,,-2.161,,2.82,,-10.31,,-33.35,,-73.52,QC'd by Pharmacopeia
187,4237657,3232770,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.41,,,43.33,,-35.15,,5.672,,50.95,,32.17,,-3.169,,-28.41,QC'd by Pharmacopeia
188,4237658,3232771,Active,40,,,Inhibitor,31.6228,92.564,,Partial curve; high efficacy,-4.5,2.4064,0.8737,-99.77,-7.206,-2.1,0 1 0 0 0 0 0,-81.72,,,-25.8,,61.88,,-11.7,,5.34,,3.656,,-16.01,,-81.72,QC'd by Pharmacopeia
189,4237659,3232772,Inconclusive,20,,,Inhibitor,10,65.265,,Partial curve; partial efficacy; poor fit,-5,4.9549,0.7546,-62.5485,2.7165,-2.4,1 0 0 0 0 0 0,-62.36,,,-31.2,,-16.63,,-14.53,,23.31,,18.91,,-41.09,,-62.36,QC'd by Pharmacopeia
190,4237660,3232773,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.94,,,10.64,,30.24,,-31.64,,-6.781,,28.58,,73.68,,-27.94,QC'd by Pharmacopeia
191,4237661,3232774,Active,42,,,Inhibitor,10,73.762,,Partial curve; partial efficacy,-5,3.6272,0.9223,-71.905,1.857,-2.2,0 1 0 0 0 0 0,-72.54,,,13.89,,63.92,,2.047,,-14.62,,5.355,,-42.86,,-72.54,QC'd by Pharmacopeia
192,4237662,3232775,Active,44,,,Inhibitor,6.3096,137.908,,Partial curve; high efficacy,-5.2,0.6,0.9349,-117.912,19.9964,-2.1,0 0 0 0 0 0 0,-93.21,,,14.01,,27.98,,5.899,,-18.68,,-10.91,,-66.26,,-93.21,QC'd by Pharmacopeia
193,4237663,3232776,Inactive,0,,,Inactive,,,,,,,,,,4,,-12.48,,,3.786,,50.54,,-5.177,,-16.98,,-17.15,,-8.359,,-12.48,QC'd by Pharmacopeia
194,4237664,3232777,Active,47,,,Inhibitor,1,102.519,,Partial curve; partial efficacy,-6,0.4,0.8342,-87.342,15.177,-2.2,0 0 0 0 0 0 0,-72.49,,,-4.328,,21.05,,-31.68,,-24.49,,-43.99,,-56.17,,-72.49,QC'd by Pharmacopeia
195,4237665,3232778,Inactive,0,,,Inactive,,,,,,,,,,4,,26.52,,,-9.35,,-4.417,,-25.74,,-21.14,,-24.34,,-3.482,,26.52,QC'd by Pharmacopeia
196,4237666,3232779,Inconclusive,20,,,Inhibitor,39.8107,56.161,,Single point of activity,-4.4,4.9549,0.586,-61.076,-4.915,-3,0 0 0 1 0 0 0,-52.98,,,3.682,,-28.32,,-10.95,,68.08,,-9.374,,21.17,,-52.98,QC'd by Pharmacopeia
197,4237667,3232780,Active,44,,,Inhibitor,5.0119,95.7719,,Partial curve; partial efficacy,-5.3,0.8,0.9879,-87.7719,8,-2.2,0 0 0 0 0 0 0,-77.19,,,9.933,,0.479,,6.526,,-0.3566,,-28.26,,-52.94,,-77.19,QC'd by Pharmacopeia
198,4237668,3232781,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.75,,,-21.38,,-6.938,,-9.93,,3.122,,-0.235,,-26.83,,-30.75,QC'd by Pharmacopeia
199,4237669,3232782,Inconclusive,20,,,Inhibitor,39.8107,77.32,,Single point of activity,-4.4,3.0654,0.6982,-85.122,-7.802,-3,0 0 0 0 0 0 0,-66.1,,,7.193,,-24.79,,-24.11,,-14.69,,11.92,,-6.576,,-66.1,QC'd by Pharmacopeia
200,4237670,3232783,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.798,,,-10.27,,17.87,,9.034,,-12.92,,13.71,,18.29,,-6.798,QC'd by Pharmacopeia
201,4237671,3232784,Inconclusive,20,,,Inhibitor,6.3096,51.507,,Complete curve; partial efficacy; poor fit,-5.2,4.9549,0.8828,-46.507,5,-1.4,0 0 0 0 0 0 0,-43.47,,,-2.471,,-0.8894,,-4.393,,17.7,,15.61,,-47.07,,-43.47,QC'd by Pharmacopeia
202,4237672,3232785,Inconclusive,20,,,Inhibitor,39.8107,69.962,,Single point of activity,-4.4,4.9549,0.7996,-69.088,0.874,-3,0 1 0 0 0 0 0,-59.24,,,-19.43,,29.6,,-7.246,,12.02,,9.581,,9.424,,-59.24,QC'd by Pharmacopeia
203,4237673,3232786,Active,41,,,Inhibitor,15.8489,62.268,,Partial curve; partial efficacy,-4.8,2.1211,0.9941,-75.288,-13.02,-2.2,0 0 0 0 1 0 0,-73.16,,,-11.67,,-14.94,,-10.64,,-14.26,,14.84,,-35.23,,-73.16,QC'd by Pharmacopeia
204,4237674,3232787,Inconclusive,21,,,Inhibitor,12.5893,59.3505,,Partial curve; partial efficacy,-4.9,2.7202,0.8587,-55.651,3.6995,-2.2,0 0 0 1 0 0 0,-55.21,,,-8.544,,20.8,,-1.623,,56.81,,3.611,,-20.33,,-55.21,QC'd by Pharmacopeia
205,4237675,3232788,Inactive,0,,,Inactive,,,,,,,,,,4,,5.727,,,-8.035,,0.9749,,-1.974,,-12.14,,-4.487,,-7.35,,5.727,QC'd by Pharmacopeia
206,4237676,3232789,Inactive,0,,,Inactive,,,,,,,,,,4,,34.42,,,9.166,,-8.401,,-13.88,,-16.39,,-20.16,,-22.83,,34.42,QC'd by Pharmacopeia
207,4237677,3232790,Inactive,0,,,Inactive,,,,,,,,,,4,,3.41,,,0.619,,39.39,,-4.716,,-5.313,,15.89,,47.09,,3.41,QC'd by Pharmacopeia
